356,not-protected,1
318,not-protected,1
296,not-protected,1
593,not-protected,1
2571,not-protected,1
480,not-protected,1
260,not-protected,1
110,not-protected,1
527,not-protected,1
1,not-protected,1
589,not-protected,1
2959,not-protected,1
1210,not-protected,1
1196,not-protected,1
50,not-protected,1
2858,not-protected,1
780,not-protected,1
1198,not-protected,1
858,not-protected,1
457,not-protected,1
4993,not-protected,1
150,not-protected,1
32,not-protected,1
592,not-protected,1
1270,not-protected,1
5952,not-protected,1
608,not-protected,1
590,not-protected,1
47,not-protected,1
7153,not-protected,1
588,not-protected,1
380,not-protected,1
2028,not-protected,1
2762,not-protected,1
648,not-protected,1
377,not-protected,1
364,not-protected,1
3578,not-protected,1
344,not-protected,1
4306,not-protected,1
595,not-protected,1
1721,not-protected,1
1197,not-protected,1
1580,not-protected,1
165,not-protected,1
4226,not-protected,1
1240,not-protected,1
736,not-protected,1
1291,not-protected,1
1193,not-protected,1
1704,not-protected,1
1097,not-protected,1
1136,not-protected,1
1265,not-protected,1
153,not-protected,1
597,not-protected,1
500,not-protected,1
58559,not-protected,1
367,not-protected,1
1036,not-protected,1
1214,not-protected,1
733,not-protected,1
316,not-protected,1
6539,not-protected,1
34,not-protected,1
1221,not-protected,1
349,not-protected,1
231,not-protected,1
541,not-protected,1
1089,not-protected,1
2716,not-protected,1
3793,not-protected,1
2628,not-protected,1
6377,not-protected,1
79132,not-protected,1
4886,not-protected,1
4973,not-protected,1
293,not-protected,1
10,not-protected,1
587,not-protected,1
1213,not-protected,1
1200,not-protected,1
1073,not-protected,1
1527,not-protected,1
1682,not-protected,1
539,not-protected,1
586,not-protected,1
2329,not-protected,1
1617,not-protected,1
1961,not-protected,1
4963,not-protected,1
4995,not-protected,1
7361,not-protected,1
2997,not-protected,1
6874,not-protected,1
3147,not-protected,1
208,not-protected,1
912,not-protected,1
111,not-protected,1
5445,not-protected,1
3996,not-protected,1
5349,not-protected,1
329,not-protected,1
1258,not-protected,1
39,not-protected,1
924,not-protected,1
253,not-protected,1
